Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
TRNT1 deficiency	TRNT1	AR		612907		Low	Low			"congenital sideroblastic anemia, deafness, developmental delay"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
Tricho-hepato-enteric syndrome due to TTC37 mutations	TTC37 	AR 		222470	Impaired function	Variably low switched memory B cells	Low			"Respiratory infections,IUGR, facial dysmorphic features, wooly hair, early onset intractable diarrhea, liver cirrhosis, platelet abnormalities"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002014		
Immunodeficiency with multiple intestinal atresias	TTC7A 	AR		609332	"Variable, but sometimes absent low TRECs"	Normal or low	Low	Normal		"Bacterial (sepsis), fungal, viral infections, multiple intestinal atresias, often with intrauterine polyhydramnios and early demise, some with SCID phenotype"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0011100		
Tyk2 deficiency	TYK2	AR		176941					"Normal, but multiple cytokine signaling defect"	"Susceptibility to intracellular bacteria (mycobacteria, Salmonella), viruses, +/- elevated IgE"	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
P1104A TYK2 homozygosity	TYK2	AR 								Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
Fanconi Anemia Type T	UBE2T	AR		616435	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
UNC13D / Munc13-4 deficiency (FHL3)	UNC13D	AR		608897	Increased activated T cells	Normal	Normal 	Neutropenia with active HLH		"Fever, HSM, HLH, cytopenias"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
UNC93B1 deficiency	UNC93B1	AD	GOF		Low CD4	High plasmablasts			Type I interferon signature	"Childhood onset SLE, other autoimmunity"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
UNC93B1 deficiency	UNC93B1	AR		608204	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	"Herpes simplex virus 1 encephalitis, severe COVID-19"	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
UNG deficiency	UNG 	AR		191525			Low IgG and IgA with normal or high IgM			Enlarged lymph nodes and germinal centers	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
Common variable immune deficiency with no gene defect specified (CVID)	Unknown	 Variable			Variable	Variable	Low IgG and IgA and/or IgM			"Clinical phenotypes vary: most have recurrent infections, some have polyclonal lymphoproliferation, autoimmune cytopenias and/or granulomatous disease"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
Isolated IgG subclass deficiency	Unknown	 ?			Normal	Normal	Variable			"Usually asymptomatic, a minority may have poor antibody response to specific antigens and recurrent viral/bacterial infections"	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.03	D80.3	HP:0002715	HP:0032135		
IgG subclass deficiency with IgA deficiency	Unknown	 ?			Normal	Normal	Variable total IgG with low IgA			Recurrent bacterial infections 	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.03	D80.3	HP:0002715	HP:0032135		
Selective IgA deficiency	Unknown	 ?			Normal	Normal	Low IgA			"Bacterial infections, autoimmunity mildly increased"	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.01	D80.2	HP:0002715	HP:0002720		
Specific antibody deficiency with normal Ig levels and normal B cells	Unknown	 ?			Normal	Normal	Normal			Reduced ability to produce antibodies to specific antigens	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.03	D80.6	HP:0002715	HP:0012475		
Transient hypogammaglobuliemia of infancy	Unknown	 ?			Normal	Normal	Low			"Normal ability to produce antibodies to vaccine antigens, usually not associated with significant infections"	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279	D80.7	HP:0002715	HP:0004313		
Selective IgM  deficiency	Unknown	?					Low IgM			Pneumococcal / bacterial infections	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279.02	D80.4	HP:0002715	HP:0010701		
DiGeorge/velocardiofacial syndrome	Unknown / environment	Sporadic/toxin exposure			Decreased or normal	Normal	Normal or decreased	Normal		"Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D82.1	HP:0002715	HP:0005403	HP:0012759	
CHARGE syndrome	Unknown / environment				"Decreased or normal, response to PHA may be decreased"	Normal	Normal or decreased	Normal		"Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403	HP:0012759	
Clericuzio syndrome (Poikiloderma with neutropenia)	USB1	 AR		613276				Low		"Retinopathy, developmental delay, facial dysmorphisms, poikiloderma"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
USP18 deficiency	USP18	AR		607057						TORCH like syndrome	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
Cohen syndrome	VPS13B	 AR		607817				Low		"Dysmorphism, mental retardation, obesity, deafness, neutropenia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
VPS45 deficiency (SCN5)	VPS45 	 AR		610035				Low		"Extramedullary hematopoiesis, bone marrow fibrosis, nephromegaly "	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
Wiskott-Aldrich syndrome (WAS LOF)	WAS	XL		 300392	"Progressive decrease in numbers,  Abnormal lymphocyte responses to anti-CD3"	Normal numbers	"High IgE, low IgM"			"Thrombocytopenia with small platelets, recurrent bacterial and viral infections, bloody diarrhea,  eczema, lymphoma, autoimmune disease, IgA nephropathy, vasculitis. XL thrombocytopenia is a mild form of WAS"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.12	D82.0	HP:0002715	HP:0005403		
X-linked neutropenia/ myelodysplasia WAS GOF	WAS	 XL	GOF	300392				Low		"Neutropenia, myeloid maturation arrest, monocytopenia, variable lymphoid anomalies "	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
WDR1 deficiency (Lazy leukocyte)	WDR1	AR		604734				Low		"Mild neutropenia, poor wound healing, severe stomatitis, neutrophil nuclei herniate"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0010280		
WIP deficiency	WIPF1	AR		602357	"Reduced, defective lymphocyte responses to anti-CD3"	Normal or low	High IgE			"Thrombocytopenia with or without small platelets, recurrent bacterial and viral infections, eczema, bloody diarrhea, WAS protein absent"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.2	D81.9	HP:0002715	HP:0005403		
DKCB3	WRAP53	AR		613988	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
XIAP deficiency (XLP2)	XIAP 	XL		300079	Normal or Increased activated T cells; low/normal iNK T cells	Normal or reduced Memory B cells	Variable	Normal		"EBV infection, Splenomegaly, lymphoproliferation, HLH, Colitis, IBD, hepatitis, Low iNKT cells, hypogammaglobulinemia"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
Fanconi Anemia Type U	XRCC2	AR		617247	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type G	XRCC9	AR		614082	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
ZAP-70 deficiency (ZAP70 LOF)	ZAP70 	AR		176947	"Low CD8, Nl CD4 number but poor function"	Normal	Nl			"May have immune dysregulation, autoimmunity"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
ZAP70 combined hypomorphic GOF	ZAP70 	AR 	LOF GOF	176947	"Decreased CD8, normal or decreased CD4 cells"	Normal or decreased				Severe autoimmunity 	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
"Immunodeficiency with centromeric instability and facial anomalies, ICF2"	ZBTB24	AR		614064	Decreased or normal	Decreased or normal	"Variably low IgG, IgA"			"Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
ZNF341 deficiency AR-HIES	ZNF341	AR		618282	Decreased Th17 cells	Decreased memory B cells	High IgE and IgG	Normal		"Bacterial infections, mild facial dysmorphism, pneumatoceles, hyperextensible joints, bone fractures, retention of primary teeth"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
ZNFX1 deficiency	ZNFX1	AR			"Normal lymphocyte numbers, intact T cell function"	Low	Normal			"severe infections by RNA/DNA viruses, early-onset, systemic, severe, acute inflammation with major dysfunctions of liver, brain, kidneys, lungs. Virally triggered inflammatory episodes (HLH, intermittent monocytosis, thrombocytopenia, hepatosplenomegaly, lymphadenopathy. Mycobacterial disease (BCGosis, disseminated TB).  High mortality. Increased ISG in response to poly I/C"	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
